Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
functional,Chrome 117.0.0.0,,,2023-09-29 05:30:52,2023-09-29 05:33:57,3m - 5.348s,PASSED
,,,,,,,
Test Cases/Functionality/register new customer,Chrome 117.0.0.0,,,2023-09-29 05:30:52,2023-09-29 05:31:42,49.886s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 05:30:53,2023-09-29 05:30:55,2.403s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 05:30:55,2023-09-29 05:31:06,10.839s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""))",Chrome 117.0.0.0,,,2023-09-29 05:31:06,2023-09-29 05:31:06,0.469s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/img_Hello,_style-people""))",Chrome 117.0.0.0,,,2023-09-29 05:31:06,2023-09-29 05:31:07,0.370s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_IDUsername""))",Chrome 117.0.0.0,,,2023-09-29 05:31:07,2023-09-29 05:31:07,0.373s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 05:31:07,2023-09-29 05:31:08,0.762s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 05:31:08,2023-09-29 05:31:08,0.460s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Login""))",Chrome 117.0.0.0,,,2023-09-29 05:31:08,2023-09-29 05:31:09,0.378s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 05:31:09,2023-09-29 05:31:16,7.475s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 05:31:16,2023-09-29 05:31:17,0.643s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 05:31:17,2023-09-29 05:31:18,1.546s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Salesman ID""))",Chrome 117.0.0.0,,,2023-09-29 05:31:18,2023-09-29 05:31:20,1.387s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_REYNER""))",Chrome 117.0.0.0,,,2023-09-29 05:31:20,2023-09-29 05:31:20,0.491s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Salesman ID_createcustomer-customerre_2602e6""), ""Customer-UMKM"" + RandomStringUtils.randomNumeric(5))",Chrome 117.0.0.0,,,2023-09-29 05:31:20,2023-09-29 05:31:22,1.415s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Customer Name_createcustomer-customer_9f598b""), ""UMKM"")",Chrome 117.0.0.0,,,2023-09-29 05:31:22,2023-09-29 05:31:22,0.806s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Email""))",Chrome 117.0.0.0,,,2023-09-29 05:31:22,2023-09-29 05:31:23,0.368s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_PIC_createcustomer-customerregister-c_7d29d8""), ""umkm@mailinator.com"")",Chrome 117.0.0.0,,,2023-09-29 05:31:23,2023-09-29 05:31:24,0.797s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Email_createcustomer-customerregister_6409b8""), ""Sleman"")",Chrome 117.0.0.0,,,2023-09-29 05:31:24,2023-09-29 05:31:24,0.721s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Remark""))",Chrome 117.0.0.0,,,2023-09-29 05:31:24,2023-09-29 05:31:25,0.474s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_City_createcustomer-customerregister-_1096a9""), ""umkm"")",Chrome 117.0.0.0,,,2023-09-29 05:31:25,2023-09-29 05:31:26,0.790s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_NPWP""))",Chrome 117.0.0.0,,,2023-09-29 05:31:26,2023-09-29 05:31:26,0.377s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_NPWP""))",Chrome 117.0.0.0,,,2023-09-29 05:31:26,2023-09-29 05:31:26,0.389s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Remark_createcustomer-customerregiste_e3ba5d""), ""08.178.554.2-123.321"")",Chrome 117.0.0.0,,,2023-09-29 05:31:26,2023-09-29 05:31:27,0.748s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_NPWP_createcustomer-customerregister-_b2e4d8""), ""umkm"")",Chrome 117.0.0.0,,,2023-09-29 05:31:27,2023-09-29 05:31:28,0.794s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/textarea_Tier_createcustomer-customerregist_831bae""), ""gang mawar"")",Chrome 117.0.0.0,,,2023-09-29 05:31:28,2023-09-29 05:31:29,0.850s,PASSED
