Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
functional-negativecase,Chrome 117.0.0.0,,,2023-09-29 05:36:31,2023-09-29 05:50:52,14m - 21.164s,PASSED
,,,,,,,
Test Cases/Functionality/negative-testcase/regist new cust but empty all field except address 2,Chrome 117.0.0.0,,,2023-09-29 05:36:32,2023-09-29 05:37:04,32.707s,PASSED
randomText = RandomStringUtils.randomAlphanumeric(5),Chrome 117.0.0.0,,,2023-09-29 05:36:32,2023-09-29 05:36:32,0.019s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 05:36:32,2023-09-29 05:36:34,2.293s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 05:36:34,2023-09-29 05:36:47,12.698s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 05:36:47,2023-09-29 05:36:48,0.825s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 05:36:48,2023-09-29 05:36:48,0.450s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/button_Login""))",Chrome 117.0.0.0,,,2023-09-29 05:36:48,2023-09-29 05:36:49,0.414s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 05:36:49,2023-09-29 05:36:55,6.321s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 05:36:55,2023-09-29 05:36:56,0.730s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 05:36:56,2023-09-29 05:36:58,1.678s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/textarea_Address_createcustomer-customerreg_2c8b43""), ""alamat2"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 05:36:58,2023-09-29 05:36:59,1.852s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Submit""))",Chrome 117.0.0.0,,,2023-09-29 05:36:59,2023-09-29 05:37:00,0.712s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/img_concat(id(, , -img-snackbar, , ))_-img-_6a7c1a""))",Chrome 117.0.0.0,,,2023-09-29 05:37:00,2023-09-29 05:37:01,0.595s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Mohon Isi Customer ID Terlebih Dahulu""))",Chrome 117.0.0.0,,,2023-09-29 05:37:01,2023-09-29 05:37:02,0.794s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-09-29 05:37:02,2023-09-29 05:37:02,0.678s,PASSED
Video,Chrome 117.0.0.0,,,2023-09-29 05:37:04,2023-09-29 05:37:04,0.001s,PASSED
,,,,,,,
Test Cases/Functionality/negative-testcase/regist new cust but empty all field except address1,Chrome 117.0.0.0,,,2023-09-29 05:37:04,2023-09-29 05:37:33,29.020s,PASSED
randomText = RandomStringUtils.randomAlphanumeric(5),Chrome 117.0.0.0,,,2023-09-29 05:37:05,2023-09-29 05:37:05,0.002s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 05:37:05,2023-09-29 05:37:06,1.175s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 05:37:06,2023-09-29 05:37:16,10.088s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 05:37:16,2023-09-29 05:37:17,0.733s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 05:37:17,2023-09-29 05:37:17,0.419s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/button_Login""))",Chrome 117.0.0.0,,,2023-09-29 05:37:17,2023-09-29 05:37:17,0.368s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 05:37:17,2023-09-29 05:37:24,6.630s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 05:37:24,2023-09-29 05:37:25,0.726s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 05:37:25,2023-09-29 05:37:28,2.883s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/textarea_Tier_createcustomer-customerregist_831bae""), ""alamat1"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 05:37:28,2023-09-29 05:37:29,1.690s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Submit""))",Chrome 117.0.0.0,,,2023-09-29 05:37:29,2023-09-29 05:37:30,0.369s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/img_concat(id(, , -img-snackbar, , ))_-img-_6a7c1a""))",Chrome 117.0.0.0,,,2023-09-29 05:37:30,2023-09-29 05:37:30,0.448s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Mohon Isi Customer ID Terlebih Dahulu""))",Chrome 117.0.0.0,,,2023-09-29 05:37:30,2023-09-29 05:37:30,0.358s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-09-29 05:37:30,2023-09-29 05:37:31,0.704s,PASSED
Video,Chrome 117.0.0.0,,,2023-09-29 05:37:33,2023-09-29 05:37:33,0.000s,PASSED
,,,,,,,
Test Cases/Functionality/negative-testcase/regist new cust but empty all field except city,Chrome 117.0.0.0,,,2023-09-29 05:37:33,2023-09-29 05:38:06,33.113s,PASSED
