Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
functional-negativecase2,Chrome 117.0.0.0,,,2023-09-29 07:23:03,2023-09-29 07:44:21,21m - 17.222s,FAILED
,,,,,,,
Test Cases/Functionality/negative-testcase2/regist new cust but empty customer id,Chrome 117.0.0.0,,,2023-09-29 07:23:04,2023-09-29 07:25:01,1m - 57.030s,PASSED
randomText = RandomStringUtils.randomAlphanumeric(5),Chrome 117.0.0.0,,,2023-09-29 07:23:04,2023-09-29 07:23:04,0.059s,PASSED
randomNum = RandomStringUtils.randomNumeric(5),Chrome 117.0.0.0,,,2023-09-29 07:23:04,2023-09-29 07:23:04,0.002s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 07:23:04,2023-09-29 07:23:06,2.244s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 07:23:06,2023-09-29 07:23:38,31.847s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Sign In_username""), ""testingwmslite2"")",Chrome 117.0.0.0,,,2023-09-29 07:23:38,2023-09-29 07:23:39,0.849s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Prieds Technology/input_IDUsername_password""), ""U8NeUUalMC6sqe9eTsnb2g=="")",Chrome 117.0.0.0,,,2023-09-29 07:23:39,2023-09-29 07:23:40,0.575s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_Login""))",Chrome 117.0.0.0,,,2023-09-29 07:23:40,2023-09-29 07:23:40,0.473s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Master""))",Chrome 117.0.0.0,,,2023-09-29 07:23:40,2023-09-29 07:24:01,20.887s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Management""))",Chrome 117.0.0.0,,,2023-09-29 07:24:01,2023-09-29 07:24:02,0.758s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Customer Register""))",Chrome 117.0.0.0,,,2023-09-29 07:24:02,2023-09-29 07:24:07,5.619s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/div_Salesman ID Salesman ID""))",Chrome 117.0.0.0,,,2023-09-29 07:24:07,2023-09-29 07:24:09,1.379s,PASSED
"click(findTestObject(""Object Repository/Page_Prieds Technology/span_REYNER""))",Chrome 117.0.0.0,,,2023-09-29 07:24:09,2023-09-29 07:24:09,0.483s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Salesman ID_createcustomer-customerre_2602e6""), ""customerName"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:24:09,2023-09-29 07:24:11,1.440s,PASSED
"setText(findTestObject(""Object Repository/Page_Prieds Technology/input_Customer Name_createcustomer-customer_9f598b""), ""PIC"" + randomText)",Chrome 117.0.0.0,,,2023-09-29 07:24:11,2023-09-29 07:24:12,0.814s,PASSED
