Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
user interface,Chrome 117.0.0.0,,,2023-09-29 08:17:40,2023-09-29 08:28:48,11m - 7.792s,FAILED
,,,,,,,
Test Cases/User Interface/Login page,Chrome 117.0.0.0,to make sure login page load properly,,2023-09-29 08:17:40,2023-09-29 08:19:16,1m - 35.772s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-29 08:17:41,2023-09-29 08:17:43,2.428s,PASSED
"navigateToUrl(""https://sandbox.product.prieds.com/"")",Chrome 117.0.0.0,,,2023-09-29 08:17:43,2023-09-29 08:18:34,50.666s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Hello,welcomeSign InIDUsernamePasswordv_1847fc""))",Chrome 117.0.0.0,,,2023-09-29 08:18:34,2023-09-29 08:18:34,0.417s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/img_Hello,_style-people""))",Chrome 117.0.0.0,,,2023-09-29 08:18:34,2023-09-29 08:18:35,0.389s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_No Data_cdk-overlay-backdrop cdk-overla_66c7c7""))",Chrome 117.0.0.0,,,2023-09-29 08:18:35,2023-09-29 08:19:10,35.040s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/label_Hello,""))",Chrome 117.0.0.0,,,2023-09-29 08:19:10,2023-09-29 08:19:10,0.341s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/label_welcome""))",Chrome 117.0.0.0,,,2023-09-29 08:19:10,2023-09-29 08:19:10,0.345s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Prieds Technology/div_Hello,welcome""))",Chrome 117.0.0.0,,,2023-09-29 08:19:10,2023-09-29 08:19:11,0.339s,PASSED
